device_id,ts,mode,temperature,humidity,co_ppm,no2_ppm
dc:b4:d9:13:ed:8c,2026-06-04 16:33:21+00,on,30.62371253967285,80.09613037109375,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:26+00,on,30.58098793029785,80.1495361328125,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:31+00,on,30.52490997314453,80.21514892578125,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:36+00,on,30.551612854003906,80.29297637939453,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:41+00,on,30.67978858947754,80.43946075439453,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:46+00,on,30.749217987060547,80.24261474609375,,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:51+00,on,30.73586654663086,80.01220703125,0,
dc:b4:d9:13:ed:8c,2026-06-04 16:33:56+00,on,30.719844818115234,79.957275390625,0,
dc:b4:d9:13:ed:8c,2026-06-04 16:34:01+00,on,30.67978858947754,79.945068359375,0,0.17429672181606293
dc:b4:d9:13:ed:8c,2026-06-04 16:34:06+00,on,30.67978858947754,80.018310546875,0,0.21631260216236115
dc:b4:d9:13:ed:8c,2026-06-04 16:34:11+00,on,30.63706398010254,80.08087158203125,0,0.21631260216236115
dc:b4:d9:13:ed:8c,2026-06-04 16:34:16+00,on,30.62371253967285,80.1678466796875,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:34:21+00,on,30.59433937072754,80.213623046875,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:34:26+00,on,30.607690811157227,80.26856231689453,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:34:32+00,on,30.62371253967285,80.3433303833008,0,0.3988640010356903
dc:b4:d9:13:ed:8c,2026-06-04 16:34:37+00,on,30.58098793029785,80.2700881958008,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:34:42+00,on,30.567636489868164,80.32959747314453,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:34:47+00,on,30.567636489868164,80.35095977783203,0,0.21631260216236115
dc:b4:d9:13:ed:8c,2026-06-04 16:34:52+00,on,30.551612854003906,80.36621856689453,0,0.4485052824020386
dc:b4:d9:13:ed:8c,2026-06-04 16:34:57+00,on,30.59433937072754,80.3891067504883,0,0.21631260216236115
dc:b4:d9:13:ed:8c,2026-06-04 16:35:02+00,on,30.62371253967285,80.3646926879883,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:35:07+00,on,30.63706398010254,80.3280715942383,0,0.3988640010356903
dc:b4:d9:13:ed:8c,2026-06-04 16:35:12+00,on,30.663766860961914,80.2822952270508,0,0.35090553760528564
dc:b4:d9:13:ed:8c,2026-06-04 16:35:17+00,on,30.63706398010254,80.22430419921875,0,0.3988640010356903
dc:b4:d9:13:ed:8c,2026-06-04 16:36:55+00,on,31.26993179321289,78.10482788085938,6.74753761291504,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:00+00,on,31.1444263458252,78.2604751586914,22.65505599975586,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:05+00,on,31.058975219726562,78.5168228149414,9.844934463500977,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:10+00,on,31.016250610351562,78.76402282714844,8.49805450439453,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:15+00,on,30.917448043823242,78.9364471435547,5.74400281906128,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:21+00,on,30.93079948425293,79.10581970214844,0,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:26+00,on,30.973526000976562,79.2294158935547,6.74753761291504,0.01877574436366558
dc:b4:d9:13:ed:8c,2026-06-04 16:37:31+00,on,31.016250610351562,79.1470184326172,6.74753761291504,0.1335938572883606
dc:b4:d9:13:ed:8c,2026-06-04 16:37:36+00,on,31.042953491210938,79.0890350341797,6.74753761291504,0
dc:b4:d9:13:ed:8c,2026-06-04 16:37:41+00,on,31.1017017364502,78.9822235107422,6.74753761291504,0.21631260216236115
dc:b4:d9:13:ed:8c,2026-06-04 16:37:46+00,on,31.131074905395508,78.9181365966797,6.74753761291504,0.1335938572883606
dc:b4:d9:13:ed:8c,2026-06-04 16:37:51+00,on,31.157777786254883,78.7808074951172,7.880013465881348,0.1335938572883606
dc:b4:d9:13:ed:8c,2026-06-04 16:37:56+00,on,31.1444263458252,78.7029800415039,7.880013465881348,0.1335938572883606
dc:b4:d9:13:ed:8c,2026-06-04 16:38:01+00,on,31.157777786254883,78.6358413696289,6.74753761291504,0.1335938572883606
dc:b4:d9:13:ed:8c,2026-06-04 16:38:06+00,on,31.17112922668457,78.5656509399414,7.880013465881348,0.01877574436366558
dc:b4:d9:13:ed:8c,2026-06-04 16:38:11+00,on,31.200504302978516,78.54276275634766,9.1525354385376,0
dc:b4:d9:13:ed:8c,2026-06-04 16:38:16+00,on,31.1871509552002,78.46646881103516,10.576756477355957,0.01877574436366558
dc:b4:d9:13:ed:8c,2026-06-04 16:38:21+00,on,31.243228912353516,78.51224517822266,5.74400281906128,0
dc:b4:d9:13:ed:8c,2026-06-04 17:00:46+00,on,30.49286651611328,81.07118225097656,394.42327880859375,0
